game.no;x3pa;x3pm;x2pa;x2pm;fta;ftm;o-reb;d-reb;steal;to;assists;block;t-fouls;pts.for;pts.agn
1;43;11;54;23;12;5;24;42;14;7;28;1;19;84;40
2;30;6;49;18;20;7;27;32;12;18;19;4;21;61;45
3;21;4;46;20;20;10;16;35;22;22;13;3;20;62;41
4;22;7;49;20;20;10;14;27;17;10;12;4;14;71;38
5;25;5;45;27;9;4;11;23;21;15;14;3;13;73;45
6;19;5;57;25;19;12;13;36;13;18;16;6;27;77;36
7;26;4;61;25;31;16;19;40;17;16;13;5;19;78;46
8;25;8;45;20;6;4;16;34;9;13;12;3;15;68;40
9;35;5;35;16;18;10;14;27;12;8;6;1;11;57;37
10;28;6;34;14;7;4;17;21;10;20;5;4;10;50;37
